idx,beam,hyp,truth
01_01,0,這個是什麼的人心嘛,所以那是我的眼睛嗎
01_01,1,這個是什麼的文子嘛,所以那是我的眼睛嗎
01_02,0,但洗廚話精神下,最舒服的姿勢
01_02,1,但廚廚洗精洗,最舒服的姿勢
01_03,1,外海小,開始喔
01_03,0,美海小,開始喔
01_04,0,他裡有比較空天,這裡有一張圖片
01_04,1,他裡有比較高興片,這裡有一張圖片
01_05,1,新北高速五生社長頭變口的遊林遊西遊戲,請你告訴我你在這張圖片裡看到的所有內容與細節
01_05,0,新北高速五生社長頭變口的遊林遊線,請你告訴我你在這張圖片裡看到的所有內容與細節
01_06,1,請盤式,請開始
01_06,0,期唐心,請開始
01_07,0,看到椅子,我看到一個
01_07,1,看到一個,我看到一個
01_08,1,小孩生子在一直像想要拿點乾水,小男生站在椅子上想要拿餅乾盒
01_08,0,小孩生子在一直像想要拿餅乾,小男生站在椅子上想要拿餅乾盒
01_09,0,我看看像可拿點到了,然後他看起來快要跌倒了
01_09,1,我看看像可拿點到到,然後他看起來快要跌倒了
01_10,1,讓我們這小孩小孩下下點房子拿東西要東西,然後有一個小女孩在下面想要接他從餅乾盒拿出來的東西
01_10,0,讓我們這小孩小孩下下點房子拿東西要東西的東西,然後有一個小女孩在下面想要接他從餅乾盒拿出來的東西
01_11,1,伯妹子是打泰的,櫃子是打開的
01_11,0,伯伯這是搭台的,櫃子是打開的
01_12,0,然後若以為意心準習習習才錢念起外,然後有一位女性正在洗一洗碗槽前面洗碗
01_12,1,然後若以為意心準備習習才錢念起外,然後有一位女性正在洗一洗碗槽前面洗碗
01_13,1,然後上就是打開泰的,然後水龍頭是打開的
01_13,0,然後上頭是打盤的,然後水龍頭是打開的
01_14,0,所以水漏出來流具要倒已上了,水已經滿出來了流到地上了
01_14,1,所以水漏出來流球流倒已上了,水已經滿出來了流到地上了
01_15,1,然後我有窗戶窗簾倒還滿來,然後有個窗戶窗簾半開外面
01_15,0,然後我有窗戶窗簾倒台灣來,然後有個窗戶窗簾半開外面
01_16,1,天常常常常常常到日本到台灣的問題有新,啊窗戶是打開的外面可以看到房子外有一些草木
01_16,0,天常常常常常常到日本到台灣的問題有已經機會無限,啊窗戶是打開的外面可以看到房子外有一些草木
01_17,0,然後喔流品還是你還有很水的還有關最好,然後流理台上面還有幾個碗盤是看不出來是洗過了沒有
01_17,1,然後喔流品還是你還有很水的還有關最多,然後流理台上面還有幾個碗盤是看不出來是洗過了沒有
01_18,1,根神信用的狀方,應該是一個廚房
01_18,0,根神信用的主法,應該是一個廚房
01_19,1,新竹企業安主保公司,請逐字唸完這段文字
01_19,0,新竹企業安全保公司,請逐字唸完這段文字
01_20,1,洗窗時,請開始
01_20,0,洗廚時,請開始
01_21,1,你可只有結定是否才家庭需研究,你可自由決定是否參加本試驗研究
01_21,0,你可只有結定是否才下段需研究,你可自由決定是否參加本試驗研究
01_22,1,並且使用研究或傳統全設設立研料出研究,並於試驗研究過程中可隨時撤銷同意退出試驗研究
01_22,0,並且使用研究或傳統全設設立研料研究研究研究,並於試驗研究過程中可隨時撤銷同意退出試驗研究
01_23,1,不是人和里有錢不會以人好不一快,不需任何理由且不會引起任何不愉快
01_23,0,不是人和里有錢不會以人好不一塊,不需任何理由且不會引起任何不愉快
01_24,0,火茶上水我是水域的意要教國,或影響日後醫生的醫療照護
01_24,1,火茶上水我是水域的意要照護,或影響日後醫生的醫療照護
01_25,1,十零零一零年風熱缺組織的創業創新有新莊上滴知,此外您並以充分了解主持人或贊助廠商亦可能於必要時終止
01_25,0,十零零一零年風熱缺組織的創業創新有新莊,此外您並以充分了解主持人或贊助廠商亦可能於必要時終止
01_26,0,中制本視夜年就就進行,終止本試驗研究進行
01_26,1,中制本視野年就就進行,終止本試驗研究進行
